Game,Step,Mean,SE,Num_Trials,Mean_Wall_Clock_Time,Cumulative_Wall_Clock_Time
asterix_horizon1,0,93.33333333333334,26.140645235596867,5,42.08,42.08
asterix_horizon1,1,170.0,51.20763831912405,5,33.37,75.45
asterix_horizon1,2,190.00000000000003,54.67073155618908,5,31.42,106.88
asterix_horizon1,3,210.0,48.18944098266986,5,35.8,142.68
asterix_horizon1,4,210.0,48.18944098266986,5,30.76,173.44
asterix_horizon1,5,220.0,39.2286743197994,5,33.1,206.54
asterix_horizon1,6,220.0,39.2286743197994,5,31.49,238.03
asterix_horizon1,7,223.33333333333334,36.36237371545238,5,33.34,271.37
asterix_horizon1,8,223.33333333333334,36.36237371545238,5,33.45,304.81
asterix_horizon1,9,223.33333333333334,36.36237371545238,5,31.5,336.31
asterix_horizon1,10,223.33333333333334,36.36237371545238,5,31.91,368.22
asterix_horizon1,11,223.33333333333334,36.36237371545238,5,30.79,399.01
asterix_horizon1,12,223.33333333333334,36.36237371545238,5,34.02,433.04
asterix_horizon1,13,233.33333333333334,28.382310609877333,5,32.84,465.88
asterix_horizon1,14,233.33333333333334,28.382310609877333,5,33.45,499.34
asterix_horizon1,15,233.33333333333334,28.382310609877333,5,32.69,532.02
asterix_horizon1,16,233.33333333333334,28.382310609877333,5,33.5,565.53
asterix_horizon1,17,233.33333333333334,28.382310609877333,5,32.6,598.13
asterix_horizon1,18,233.33333333333334,28.382310609877333,5,33.72,631.85
asterix_horizon1,19,233.33333333333334,28.382310609877333,5,34.24,666.09
asterix_horizon1,20,233.33333333333334,28.382310609877333,5,33.4,699.49
asterix_horizon1,21,233.33333333333334,28.382310609877333,5,34.27,733.76
asterix_horizon1,22,233.33333333333334,28.382310609877333,5,31.42,765.19
asterix_horizon1,23,233.33333333333334,28.382310609877333,5,34.83,800.02
asterix_horizon1,24,236.66666666666669,29.533408577782247,5,33.77,833.79
asterix_horizon1,25,236.66666666666669,29.533408577782247,5,33.76,867.55
asterix_horizon1,26,310.0,65.53201083779166,5,33.82,901.36
asterix_horizon1,27,310.0,65.53201083779166,5,36.58,937.95
asterix_horizon1,28,310.0,65.53201083779166,5,35.82,973.76
asterix_horizon1,29,310.0,65.53201083779166,5,39.53,1013.29
asterix_horizon100,0,70.0,14.337208778404381,5,42.3,42.3
asterix_horizon100,1,213.33333333333334,129.99999999999997,5,40.18,82.48
asterix_horizon100,2,296.6666666666667,135.7489512953149,5,40.27,122.76
asterix_horizon100,3,300.0,134.4742850262954,5,31.79,154.55
asterix_horizon100,4,300.0,134.4742850262954,5,38.73,193.28
asterix_horizon100,5,310.0,131.08521401490458,5,38.34,231.62
asterix_horizon100,6,310.0,131.08521401490458,5,39.99,271.61
asterix_horizon100,7,2410.0000000000005,2207.18901169187,5,35.32,306.93
asterix_horizon100,8,2426.666666666667,2202.855470116508,5,40.48,339.32
asterix_horizon100,9,2496.666666666667,2185.2815735175996,5,48.19,377.87
asterix_horizon100,10,2553.3333333333335,2170.8638833422974,5,48.07,416.32
asterix_horizon100,11,2553.3333333333335,2170.8638833422974,5,35.71,444.89
asterix_horizon100,12,2553.3333333333335,2170.8638833422974,5,50.96,485.66
asterix_horizon100,13,2553.3333333333335,2170.8638833422974,5,44.65,521.37
asterix_horizon100,14,2553.3333333333335,2170.8638833422974,5,53.4,564.09
asterix_horizon100,15,2626.666666666667,2151.7215329952796,5,42.4,598.01
asterix_horizon100,16,2626.666666666667,2151.7215329952796,5,47.43,635.95
asterix_horizon100,17,2626.666666666667,2151.7215329952796,5,53.08,678.42
asterix_horizon100,18,2626.666666666667,2151.7215329952796,5,45.32,714.67
asterix_horizon100,19,2626.666666666667,2151.7215329952796,5,53.09,757.14
asterix_horizon100,20,2626.666666666667,2151.7215329952796,5,50.18,797.28
asterix_horizon100,21,2626.666666666667,2151.7215329952796,5,45.21,833.45
asterix_horizon100,22,2626.666666666667,2151.7215329952796,5,49.2,872.81
asterix_horizon100,23,2626.666666666667,2151.7215329952796,5,47.46,910.78
asterix_horizon100,24,2626.666666666667,2151.7215329952796,5,48.86,949.87
asterix_horizon100,25,3466.666666666667,2107.67776369054,5,47.67,988.0
asterix_horizon100,26,3466.666666666667,2107.67776369054,5,48.59,1026.88
asterix_horizon100,27,3466.666666666667,2107.67776369054,5,48.43,1065.62
asterix_horizon100,28,3466.666666666667,2107.67776369054,5,51.48,1106.8
asterix_horizon100,29,3466.666666666667,2107.67776369054,5,48.31,1145.45
breakout,0,0.0,0.0,5,48.97,48.97
breakout,1,39.0,11.928956366757319,5,71.51,120.48
breakout,2,50.2,7.024243731534378,5,77.93,198.4
breakout,3,50.2,7.024243731534378,5,83.95,282.35
breakout,4,59.8,13.013070352534024,5,83.88,366.23
breakout,5,59.8,13.013070352534024,5,86.98,453.21
breakout,6,60.4,12.749901960407382,5,77.99,531.21
breakout,7,60.4,12.749901960407382,5,83.74,614.95
breakout,8,60.4,12.749901960407382,5,82.09,697.03
breakout,9,60.4,12.749901960407382,5,84.1,781.13
breakout,10,61.6,12.391932859727735,5,80.79,861.92
breakout,11,61.6,12.391932859727735,5,82.92,944.84
breakout,12,61.6,12.391932859727735,5,84.59,1029.43
breakout,13,69.2,11.53429668423697,5,89.76,1119.19
breakout,14,69.2,11.53429668423697,5,84.7,1203.89
breakout,15,69.2,11.53429668423697,5,94.19,1298.09
breakout,16,69.2,11.53429668423697,5,90.38,1388.47
breakout,17,69.2,11.53429668423697,5,89.28,1477.75
breakout,18,69.2,11.53429668423697,5,89.92,1567.67
breakout,19,69.2,11.53429668423697,5,86.28,1653.95
breakout,20,119.0,58.98813440006388,5,89.54,1743.49
breakout,21,119.2,58.92910995424926,5,83.93,1810.64
breakout,22,119.2,58.92910995424926,5,86.49,1879.83
breakout,23,119.2,58.92910995424926,5,87.87,1950.13
breakout,24,119.2,58.92910995424926,5,84.88,2018.03
breakout,25,119.2,58.92910995424926,5,84.36,2085.52
breakout,26,119.2,58.92910995424926,5,80.43,2149.86
breakout,27,119.2,58.92910995424926,5,71.71,2207.23
breakout,28,123.0,57.74686138657234,5,88.71,2278.2
breakout,29,123.0,57.74686138657234,5,95.38,2354.5
breakout,30,123.0,57.74686138657234,5,76.45,2400.37
breakout_horizon1,0,0.0,0.0,5,39.23,39.23
breakout_horizon1,1,30.0,9.181503144910423,5,35.8,75.03
breakout_horizon1,2,37.0,11.018166816671455,5,35.41,110.44
breakout_horizon1,3,49.0,18.313929125122222,5,41.12,151.57
breakout_horizon1,4,61.2,19.053608582103287,5,39.92,191.48
breakout_horizon1,5,69.0,13.6088206689632,5,37.44,228.93
breakout_horizon1,6,69.0,13.6088206689632,5,41.82,270.75
breakout_horizon1,7,70.6,12.796874618437112,5,37.4,308.15
breakout_horizon1,8,70.6,12.796874618437112,5,39.31,347.45
breakout_horizon1,9,70.6,12.796874618437112,5,35.8,383.25
breakout_horizon1,10,70.6,12.796874618437112,5,0.0,383.25
breakout_horizon1,11,70.6,12.796874618437112,5,0.0,383.25
breakout_horizon1,12,70.6,12.796874618437112,5,0.0,383.25
breakout_horizon1,13,70.6,12.796874618437112,5,0.0,383.25
breakout_horizon1,14,70.6,12.796874618437112,5,0.0,383.25
breakout_horizon1,15,70.6,12.796874618437112,5,0.0,383.25
breakout_horizon1,16,70.6,12.796874618437112,5,0.0,383.25
breakout_horizon1,17,70.6,12.796874618437112,5,0.0,383.25
breakout_horizon1,18,70.6,12.796874618437112,5,0.0,383.25
breakout_horizon1,19,70.6,12.796874618437112,5,0.0,383.25
breakout_horizon1,20,70.6,12.796874618437112,5,0.0,383.25
breakout_horizon1,21,70.6,12.796874618437112,5,0.0,383.25
breakout_horizon1,22,70.6,12.796874618437112,5,0.0,383.25
breakout_horizon1,23,70.6,12.796874618437112,5,0.0,383.25
breakout_horizon1,24,70.6,12.796874618437112,5,0.0,383.25
breakout_horizon1,25,70.6,12.796874618437112,5,0.0,383.25
breakout_horizon1,26,70.6,12.796874618437112,5,0.0,383.25
breakout_horizon1,27,70.6,12.796874618437112,5,0.0,383.25
breakout_horizon1,28,70.6,12.796874618437112,5,0.0,383.25
breakout_horizon1,29,70.6,12.796874618437112,5,0.0,383.25
breakout_horizon1,30,70.6,12.796874618437112,5,0.0,383.25
enduro_horizon1,0,49.0,0.0,5,34.73,34.73
enduro_horizon1,1,56.0,7.0,5,37.48,72.2
enduro_horizon1,2,87.6,22.504666182816393,5,36.55,108.76
enduro_horizon1,3,95.0,20.454828280872952,5,36.24,145.0
enduro_horizon1,4,101.6,17.61135997020105,5,34.48,179.48
enduro_horizon1,5,101.6,17.61135997020105,5,30.93,210.41
enduro_horizon1,6,101.6,17.61135997020105,5,31.94,242.35
enduro_horizon1,7,101.6,17.61135997020105,5,29.4,271.75
enduro_horizon1,8,102.6,17.388501948126525,5,29.25,301.0
enduro_horizon1,9,102.6,17.388501948126525,5,29.82,330.82
enduro_horizon1,10,102.6,17.388501948126525,5,26.08,356.9
enduro_horizon1,11,102.6,17.388501948126525,5,30.17,387.07
enduro_horizon1,12,102.6,17.388501948126525,5,33.75,420.82
enduro_horizon1,13,102.6,17.388501948126525,5,40.63,461.45
enduro_horizon1,14,102.6,17.388501948126525,5,40.06,501.51
enduro_horizon1,15,102.6,17.388501948126525,5,43.42,544.92
enduro_horizon1,16,102.6,17.388501948126525,5,42.46,587.38
enduro_horizon1,17,102.6,17.388501948126525,5,32.21,619.59
enduro_horizon1,18,102.6,17.388501948126525,5,27.74,647.33
enduro_horizon1,19,102.6,17.388501948126525,5,29.2,676.54
enduro_horizon1,20,103.6,17.177310616042313,5,29.35,705.89
enduro_horizon1,21,103.6,17.177310616042313,5,32.45,738.34
enduro_horizon1,22,103.6,17.177310616042313,5,33.79,772.13
enduro_horizon1,23,103.6,17.177310616042313,5,30.89,803.02
enduro_horizon1,24,103.6,17.177310616042313,5,30.27,833.29
enduro_horizon1,25,103.6,17.177310616042313,5,29.03,862.32
enduro_horizon1,26,103.6,17.177310616042313,5,32.59,894.91
enduro_horizon1,27,104.0,17.05579080547132,5,30.22,925.12
enduro_horizon1,28,104.0,17.05579080547132,5,29.36,954.48
enduro_horizon1,29,104.0,17.05579080547132,5,33.54,988.03
enduro_horizon100,0,49.0,0.0,5,40.25,40.25
enduro_horizon100,1,49.0,0.0,5,36.49,76.74
enduro_horizon100,2,49.0,0.0,5,41.82,118.56
enduro_horizon100,3,49.0,0.0,5,42.28,160.84
enduro_horizon100,4,49.0,0.0,5,44.81,205.65
enduro_horizon100,5,49.0,0.0,5,46.3,251.95
enduro_horizon100,6,49.4,0.39999999999999997,5,47.13,299.09
enduro_horizon100,7,57.8,8.309031231136395,5,47.99,347.08
enduro_horizon100,8,57.8,8.309031231136395,5,41.88,388.95
enduro_horizon100,9,57.8,8.309031231136395,5,46.5,435.46
enduro_horizon100,10,57.8,8.309031231136395,5,46.78,482.23
enduro_horizon100,11,64.8,9.340235543068495,5,45.95,528.19
enduro_horizon100,12,64.8,9.340235543068495,5,48.67,576.85
enduro_horizon100,13,64.8,9.340235543068495,5,50.56,627.41
enduro_horizon100,14,67.0,8.769264507357502,5,53.3,680.71
enduro_horizon100,15,67.0,8.769264507357502,5,47.76,728.47
enduro_horizon100,16,67.0,8.769264507357502,5,46.9,775.37
enduro_horizon100,17,67.0,8.769264507357502,5,47.22,822.59
enduro_horizon100,18,67.0,8.769264507357502,5,47.62,870.21
enduro_horizon100,19,67.0,8.769264507357502,5,49.16,919.36
enduro_horizon100,20,67.0,8.769264507357502,5,49.12,968.49
enduro_horizon100,21,67.0,8.769264507357502,5,48.26,1016.75
enduro_horizon100,22,67.0,8.769264507357502,5,52.76,1069.5
enduro_horizon100,23,67.0,8.769264507357502,5,50.45,1119.95
enduro_horizon100,24,67.8,8.691375035056305,5,50.08,1170.03
enduro_horizon100,25,67.8,8.691375035056305,5,53.6,1223.64
enduro_horizon100,26,67.8,8.691375035056305,5,53.07,1276.7
enduro_horizon100,27,67.8,8.691375035056305,5,53.77,1330.47
enduro_horizon100,28,71.8,9.377632963600142,5,53.79,1384.26
enduro_horizon100,29,71.8,9.377632963600142,5,53.24,1437.5
freeway_horizon1,0,21.666666666666668,0.0,5,40.4,40.4
freeway_horizon1,1,21.733333333333334,0.06666666666666643,5,40.97,81.37
freeway_horizon1,2,24.2,1.9708993998792643,5,46.49,127.86
freeway_horizon1,3,24.933333333333334,1.8541245313564507,5,54.69,182.56
freeway_horizon1,4,25.333333333333336,1.9002923751652296,5,48.44,230.99
freeway_horizon1,5,26.933333333333337,2.122367650630881,5,47.78,278.78
freeway_horizon1,6,27.0,2.0976176963403033,5,46.61,325.38
freeway_horizon1,7,27.0,2.0976176963403033,5,47.71,373.1
freeway_horizon1,8,27.0,2.0976176963403033,5,48.6,421.7
freeway_horizon1,9,27.133333333333336,2.0537229067665814,5,47.15,468.85
freeway_horizon1,10,27.133333333333336,2.0537229067665814,5,44.34,513.19
freeway_horizon1,11,27.133333333333336,2.0537229067665814,5,49.01,562.21
freeway_horizon1,12,27.133333333333336,2.0537229067665814,5,47.31,609.52
freeway_horizon1,13,27.133333333333336,2.0537229067665814,5,49.2,658.71
freeway_horizon1,14,27.133333333333336,2.0537229067665814,5,47.9,706.61
freeway_horizon1,15,27.133333333333336,2.0537229067665814,5,48.04,754.65
freeway_horizon1,16,27.733333333333338,1.984383475484962,5,45.93,800.58
freeway_horizon1,17,27.733333333333338,1.984383475484962,5,48.3,848.88
freeway_horizon1,18,27.733333333333338,1.984383475484962,5,48.13,897.01
freeway_horizon1,19,27.733333333333338,1.984383475484962,5,49.01,946.02
freeway_horizon1,20,27.866666666666667,1.9933221850301406,5,48.88,994.9
freeway_horizon1,21,27.866666666666667,1.9933221850301406,5,50.6,1045.5
freeway_horizon1,22,27.866666666666667,1.9933221850301406,5,49.13,1094.63
freeway_horizon1,23,27.866666666666667,1.9933221850301406,5,49.08,1143.71
freeway_horizon1,24,27.866666666666667,1.9933221850301406,5,46.96,1190.67
freeway_horizon1,25,27.866666666666667,1.9933221850301406,5,46.19,1236.86
freeway_horizon1,26,27.933333333333337,2.0011108026404845,5,47.13,1283.99
freeway_horizon1,27,27.933333333333337,2.0011108026404845,5,46.17,1330.16
freeway_horizon1,28,27.933333333333337,2.0011108026404845,5,43.79,1373.95
freeway_horizon1,29,27.933333333333337,2.0011108026404845,5,48.47,1422.42
freeway_horizon100,0,21.666666666666668,0.0,5,42.11,42.11
freeway_horizon100,1,22.133333333333336,0.46666666666666645,5,43.45,85.56
